<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>,<Trend>
AAV,20200110,10-01-20,8.5,9,8.5,9,296900,1
AAV,20200109,09-01-20,8.4,8.7,8.3,8.5,193000,1
AAV,20200108,08-01-20,8.5,8.7,8.3,8.4,128300,0
AAV,20200107,07-01-20,8.4,8.7,8.4,8.5,126700,1
AAV,20200106,06-01-20,8.4,8.5,8.3,8.4,122400,0
AAV,20200103,03-01-20,8.6,8.7,8.4,8.4,131222,0
AAV,20200102,02-01-20,8.8,8.9,8.6,8.6,170305,0
AAV,20191231,31-12-19,8.6,8.8,8.4,8.8,171910,1
AAV,20191230,30-12-19,8.3,8.7,8.3,8.7,159000,1
AAV,20191227,27-12-19,8.3,8.4,8.1,8.4,123500,1
AAV,20191226,26-12-19,8.3,8.4,8.1,8.3,122993,0
AAV,20191225,25-12-19,7.9,8.3,7.8,8.3,196206,1
AAV,20191224,24-12-19,7.7,8,7.6,7.9,140610,1
AAV,20191223,23-12-19,7.7,7.7,7.5,7.7,68000,0
AAV,20191220,20-12-19,7.6,7.9,7.5,7.7,100500,0
AAV,20191219,19-12-19,7.9,7.9,7.7,7.8,50421,0
AAV,20191218,18-12-19,8,8,7.7,7.9,52308,0
AAV,20191217,17-12-19,8.3,8.3,7.9,8,63120,0
AAV,20191216,16-12-19,8.3,8.3,8.1,8.3,33700,0
AAV,20191213,13-12-19,8.3,8.4,8.2,8.3,31900,0
AAV,20191212,12-12-19,8.3,8.4,8.2,8.3,130200,0
AAV,20191211,11-12-19,8.3,8.4,8.3,8.3,113375,0
AAV,20191210,10-12-19,8.4,8.5,8.1,8.3,56707,0
AAV,20191209,09-12-19,8.4,8.5,8.3,8.4,51500,0
AAV,20191206,06-12-19,8.5,8.6,8.2,8.4,59340,0
AAV,20191205,05-12-19,8.5,8.5,8.4,8.5,69100,0
AAV,20191204,04-12-19,8.5,8.5,8.3,8.5,105200,0
AAV,20191203,03-12-19,8.3,8.6,8.3,8.6,55100,1
AAV,20191202,02-12-19,8.5,8.5,8.3,8.3,50654,0
AAV,20191129,29-11-19,8.7,8.7,8.4,8.5,43100,0
AAV,20191128,28-11-19,8.8,8.8,8.7,8.7,44800,0
AAV,20191127,27-11-19,8.8,8.8,8.6,8.8,37300,0
AAV,20191126,26-11-19,8.7,8.8,8.7,8.8,56415,1
AAV,20191125,25-11-19,8.8,8.8,8.7,8.7,55639,0
AAV,20191122,22-11-19,8.9,8.9,8.7,8.7,64400,0
AAV,20191121,21-11-19,8.9,8.9,8.8,8.9,44700,0
AAV,20191120,20-11-19,8.9,8.9,8.9,8.9,51700,0
AAV,20191119,19-11-19,8.8,8.9,8.7,8.9,83700,1
AAV,20191118,18-11-19,8.8,8.9,8.7,8.8,50940,0
AAV,20191115,15-11-19,8.8,8.8,8.7,8.8,63500,0
AAV,20191114,14-11-19,8.8,8.9,8.7,8.8,78056,0
AAV,20191113,13-11-19,8.8,8.9,8.7,8.8,64740,0
AAV,20191112,12-11-19,8.9,9,8.7,8.8,76300,0
AAV,20191111,11-11-19,9.1,9.1,8.9,8.9,54800,0
AAV,20191108,08-11-19,9.1,9.1,9.1,9.1,51800,0
AAV,20191107,07-11-19,9.1,9.2,9,9.1,93600,0
AAV,20191106,06-11-19,9,9.1,9,9.1,101529,1
AAV,20191105,05-11-19,9,9,8.9,9,50300,0
AAV,20191104,04-11-19,9.1,9.1,9,9,57806,0
AAV,20191101,01-11-19,9,9.1,8.9,9.1,129632,1
AAV,20191031,31-10-19,9,9,8.8,8.9,57500,0
AAV,20191030,30-10-19,9,9,8.9,8.9,88400,0
AAV,20191029,29-10-19,9,9.1,8.9,9,73704,0
AAV,20191028,28-10-19,9,9.1,9,9,53661,0
AAV,20191025,25-10-19,9,9,8.9,9,62230,0
AAV,20191024,24-10-19,9.1,9.1,8.9,9,91500,0
AAV,20191023,23-10-19,9.1,9.2,9,9.1,85565,0
AAV,20191022,22-10-19,9.1,9.2,9,9.2,62811,1
AAV,20191021,21-10-19,9.1,9.1,9,9.1,51932,0
AAV,20191018,18-10-19,9.2,9.3,9.1,9.1,73300,0
AAV,20191017,17-10-19,9.3,9.3,9.1,9.2,71519,0
AAV,20191016,16-10-19,9.3,9.4,9.2,9.3,267700,0
AAV,20191015,15-10-19,9.2,9.3,9,9.3,70200,0
AAV,20191014,14-10-19,9.2,9.4,8.9,9.3,141900,1
AAV,20191011,11-10-19,9.1,9.2,9,9,66190,0
AAV,20191010,10-10-19,9.1,9.1,8.9,9,85500,0
AAV,20191009,09-10-19,9.2,9.3,9,9.1,104800,0
AAV,20191008,08-10-19,9.1,9.2,9,9.2,111200,1
AAV,20191007,07-10-19,9.1,9.3,9,9.1,70308,0
AAV,20191004,04-10-19,8.9,9.2,8.8,9.1,150050,1
AAV,20191003,03-10-19,8.9,9,8.8,8.9,103925,1
AAV,20191002,02-10-19,8.9,9.1,8.8,8.8,74400,0
AAV,20191001,01-10-19,9,9.1,8.7,9,155862,0
AAV,20190930,30-09-19,9.1,9.2,9,9,117660,0
AAV,20190927,27-09-19,9.1,9.2,9,9.1,185000,0
AAV,20190926,26-09-19,9.1,9.2,9,9.1,143057,0
AAV,20190925,25-09-19,9.2,9.3,9,9.1,138520,0
AAV,20190924,24-09-19,9.2,9.3,9,9.2,97013,0
AAV,20190923,23-09-19,9.1,9.3,9.1,9.2,135930,1
AAV,20190920,20-09-19,9.2,9.4,9,9.1,151456,0
AAV,20190919,19-09-19,10,10.1,9.1,9.1,344708,0
AAV,20190918,18-09-19,10.3,10.4,9.9,9.9,149800,0
AAV,20190917,17-09-19,10.2,10.4,10,10.3,235400,1
AAV,20190916,16-09-19,10.1,10.3,10.1,10.2,157700,1
AAV,20190913,13-09-19,10,10.4,9.9,10.1,339310,1
AAV,20190912,12-09-19,10.1,10.2,9.9,10,222397,0
AAV,20190911,11-09-19,10,10.1,9.8,10.1,142450,1
AAV,20190910,10-09-19,10.5,10.6,10,10,190576,0
AAV,20190909,09-09-19,10.6,10.8,10.4,10.4,144814,0
AAV,20190906,06-09-19,10.7,10.8,10.4,10.6,194999,0
AAV,20190905,05-09-19,10.6,10.7,10.4,10.7,224200,1
AAV,20190904,04-09-19,10.6,10.8,10.4,10.6,199499,0
AAV,20190903,03-09-19,10.9,11,10.8,10.8,174677,0
AAV,20190830,30-08-19,10.9,11,10.8,11,335536,1
AAV,20190829,29-08-19,10.8,11,10.7,10.9,348300,1
AAV,20190828,28-08-19,10.4,11,10.1,10.8,263648,1
AAV,20190827,27-08-19,10.4,10.6,10.3,10.4,180980,1
AAV,20190826,26-08-19,10.7,10.9,10.3,10.3,172169,0
AAV,20190823,23-08-19,10.5,10.7,10.3,10.7,262810,1
AAV,20190822,22-08-19,10.9,11,10.5,10.6,259003,0
AAV,20190821,21-08-19,10.7,11.2,10.7,10.9,379108,1
AAV,20190820,20-08-19,10.8,10.9,10.6,10.8,330960,1
AAV,20190819,19-08-19,11,11,10.7,10.7,163215,0
AAV,20190816,16-08-19,10.6,11.1,10.5,10.9,294267,1
AAV,20190815,15-08-19,10.4,10.7,10,10.6,303700,1
AAV,20190814,14-08-19,10.9,11,10.5,10.5,275828,0
AAV,20190813,13-08-19,11.2,11.2,10.6,10.9,269480,0
AAV,20190812,12-08-19,11,11.2,10.9,11.2,337649,1
AAV,20190809,09-08-19,10.9,11.3,10.9,11,367724,0
AAV,20190808,08-08-19,11.1,11.2,10.8,11,284747,0
AAV,20190807,07-08-19,11.3,11.4,10.9,11.1,276785,0
AAV,20190806,06-08-19,10.9,11.6,10.6,11.3,515148,1
AAV,20190805,05-08-19,10.4,10.9,10.4,10.9,340053,1
AAV,20190802,02-08-19,10.2,10.7,10.2,10.4,337242,1
AAV,20190801,01-08-19,10.2,10.3,10,10.2,117655,0
AAV,20190731,31-07-19,10.4,10.6,10.2,10.2,211985,0
AAV,20190730,30-07-19,9.6,10.5,9.6,10.4,375003,1
AAV,20190729,29-07-19,9.6,9.7,9.5,9.6,86300,0
AAV,20190726,26-07-19,9.5,9.7,9.5,9.6,163770,1
AAV,20190725,25-07-19,9.5,9.7,9.3,9.5,144590,0
AAV,20190724,24-07-19,9.5,9.7,9.5,9.6,112500,1
AAV,20190723,23-07-19,9.8,9.8,9.5,9.5,72404,0
AAV,20190722,22-07-19,9.5,9.8,9.5,9.8,246525,1
AAV,20190719,19-07-19,9.7,9.7,9.5,9.6,105355,0
AAV,20190718,18-07-19,9.7,9.7,9.6,9.7,174100,1
AAV,20190717,17-07-19,9.4,9.7,9.4,9.6,216710,1
AAV,20190716,16-07-19,9.2,9.4,9.2,9.4,156835,1
AAV,20190715,15-07-19,9.2,9.3,9.2,9.2,154469,0
AAV,20190712,12-07-19,9.1,9.2,9.1,9.2,86810,0
AAV,20190711,11-07-19,9.3,9.3,9.1,9.2,69405,0
AAV,20190710,10-07-19,9.2,9.3,9.2,9.3,74481,1
AAV,20190709,09-07-19,9.2,9.2,9.1,9.2,53300,0
AAV,20190708,08-07-19,9.1,9.2,9.1,9.2,12187,1
AAV,20190705,05-07-19,9.2,9.2,9,9.1,17886,0
AAV,20190704,04-07-19,9.1,9.2,9.1,9.1,36224,0
AAV,20190703,03-07-19,8.9,9.2,8.9,9.1,117010,1
AAV,20190702,02-07-19,9,9.1,8.9,9,52826,0
AAV,20190701,01-07-19,9,9,8.8,9,85411,0
AAV,20190628,28-06-19,9.2,9.5,8.9,9,93057,0
AAV,20190627,27-06-19,9,9,8.91,9,127718,0
AAV,20190626,26-06-19,9,9.09,9,9.09,136200,1
AAV,20190625,25-06-19,9.09,9.09,8.91,9,126400,0
AAV,20190624,24-06-19,9,9.09,8.91,9.09,137800,0
AAV,20190621,21-06-19,9,9.09,8.91,9.09,97675,0
AAV,20190620,20-06-19,9.09,9.18,9,9.09,179330,0
AAV,20190619,19-06-19,9.27,9.27,9,9.09,118635,0
AAV,20190618,18-06-19,9,9.27,9,9.09,253900,1
AAV,20190617,17-06-19,9,9,9,9,57805,0
AAV,20190614,14-06-19,9.09,9.18,8.91,9,161810,0
AAV,20190613,13-06-19,9,9.09,9,9.09,84818,1
AAV,20190612,12-06-19,9.09,9.09,8.91,9,148000,0
AAV,20190611,11-06-19,9,9.18,8.91,9.09,99510,0
AAV,20190610,10-06-19,9,9.18,9,9.09,174330,1
AAV,20190607,07-06-19,9,9.09,8.91,9,99605,0
AAV,20190606,06-06-19,9,9.09,8.91,9,32510,0
AAV,20190605,05-06-19,8.91,9.18,8.91,9,180990,1
AAV,20190604,04-06-19,9,9,8.82,8.91,83710,0
AAV,20190603,03-06-19,8.91,9,8.91,9,83900,0
AAV,20190531,31-05-19,9,9,8.91,9,53600,0
AAV,20190530,30-05-19,9,9,8.82,9,76450,0
AAV,20190529,29-05-19,9,9.09,8.91,9,84750,0
AAV,20190528,28-05-19,9.09,9.09,8.91,9,78900,0
AAV,20190527,27-05-19,9,9.09,9,9.09,93745,0
AAV,20190524,24-05-19,9.09,9.18,8.91,9.09,242570,0
AAV,20190523,23-05-19,9.18,9.27,9,9.18,109155,0
AAV,20190522,22-05-19,9.09,9.27,9,9.18,305025,1
AAV,20190521,21-05-19,9.36,9.36,9,9.09,599120,0
AAV,20190520,20-05-19,9.63,9.63,9.09,9.36,637325,0
AAV,20190517,17-05-19,10.08,10.08,9.63,9.63,206320,0
AAV,20190516,16-05-19,9,9.9,8.91,9.9,1413027,1
AAV,20190515,15-05-19,9,9.09,8.82,9,305430,0
AAV,20190514,14-05-19,8.91,9,8.82,9,86557,0
AAV,20190513,13-05-19,9,9.09,8.82,9,95800,0
AAV,20190510,10-05-19,9.09,9.09,8.82,9,161200,0
AAV,20190509,09-05-19,9.09,9.18,8.91,9,260700,0
AAV,20190508,08-05-19,9.18,9.18,8.82,9,201812,0
AAV,20190507,07-05-19,9.27,9.27,9,9.09,136334,0
AAV,20190506,06-05-19,9.27,9.27,9.09,9.18,103398,0
AAV,20190503,03-05-19,9.18,9.27,9.18,9.27,214026,1
AAV,20190502,02-05-19,9.18,9.27,9.09,9.18,264916,0
AAV,20190426,26-04-19,9,9.27,8.91,9.27,90884,1
AAV,20190425,25-04-19,9.09,9.09,9,9.09,21815,0
AAV,20190424,24-04-19,9.09,9.09,9,9.09,89100,1
AAV,20190423,23-04-19,9.09,9.18,8.91,9,141080,0
AAV,20190422,22-04-19,9.09,9.09,8.91,9.09,131200,0
AAV,20190419,19-04-19,9.18,9.18,9,9.09,183309,0
AAV,20190418,18-04-19,9.09,9.27,8.91,9.18,155840,1
AAV,20190417,17-04-19,9.09,9.18,9,9.09,107011,0
AAV,20190416,16-04-19,9.27,9.27,9,9.18,93770,0
AAV,20190412,12-04-19,9.27,9.27,9,9.27,175745,0
AAV,20190411,11-04-19,9.18,9.27,9.09,9.27,162100,1
AAV,20190410,10-04-19,9.27,9.36,8.91,9.09,284845,0
AAV,20190409,09-04-19,9.45,9.45,9.18,9.36,231830,0
AAV,20190408,08-04-19,9.36,9.54,9.18,9.45,194510,1
AAV,20190405,05-04-19,9.27,9.45,9.09,9.36,334948,1
AAV,20190404,04-04-19,9.18,9.36,9.18,9.27,265315,1
AAV,20190403,03-04-19,9,9.18,9,9.18,148000,1
AAV,20190402,02-04-19,9.09,9.27,8.91,9.09,363940,0
AAV,20190401,01-04-19,9,9.18,8.91,9.09,211825,1
AAV,20190329,29-03-19,9.18,9.27,9,9,222160,0
AAV,20190328,28-03-19,9,9.45,8.91,9.18,447400,1
AAV,20190327,27-03-19,8.73,9,8.55,9,323413,1
AAV,20190326,26-03-19,8.55,8.82,8.28,8.82,199900,1
AAV,20190325,25-03-19,8.64,8.64,8.28,8.55,156247,0
AAV,20190322,22-03-19,8.64,8.64,8.46,8.55,134600,0
AAV,20190321,21-03-19,8.73,8.82,8.64,8.64,188249,0
AAV,20190320,20-03-19,8.82,8.82,8.64,8.73,190650,0
AAV,20190319,19-03-19,8.55,9,8.37,8.73,268530,0
AAV,20190318,18-03-19,8.64,8.73,8.55,8.73,106100,0
AAV,20190315,15-03-19,8.64,8.73,8.55,8.73,24116,0
AAV,20190314,14-03-19,8.64,8.73,8.55,8.73,112600,0
AAV,20190313,13-03-19,8.82,8.82,8.64,8.73,26376,0
AAV,20190312,12-03-19,9.27,9.27,8.55,8.73,218516,0
AAV,20190311,11-03-19,9.72,9.72,9.36,9.36,174014,0
AAV,20190308,08-03-19,9.45,10.08,9.36,9.81,226647,1
AAV,20190307,07-03-19,8.46,9.27,8.37,9.27,688154,1
AAV,20190306,06-03-19,8.46,8.46,8.28,8.46,24200,0
AAV,20190305,05-03-19,8.46,8.55,8.37,8.46,63965,0
AAV,20190304,04-03-19,8.46,8.55,8.37,8.46,47450,0
AAV,20190301,01-03-19,8.55,8.55,8.37,8.46,16165,0
AAV,20190228,28-02-19,8.55,8.55,8.37,8.55,23531,0
AAV,20190227,27-02-19,8.55,8.55,8.46,8.55,10650,0
AAV,20190226,26-02-19,8.55,8.55,8.46,8.55,9590,0
AAV,20190225,25-02-19,8.55,8.55,8.46,8.55,39380,0
AAV,20190222,22-02-19,8.55,8.55,8.46,8.55,56435,0
AAV,20190221,21-02-19,8.55,8.55,8.46,8.55,18716,0
AAV,20190220,20-02-19,8.55,8.55,8.46,8.55,18549,0
AAV,20190219,19-02-19,8.73,8.73,8.55,8.55,62411,0
AAV,20190218,18-02-19,8.64,8.91,8.64,8.73,88891,1
AAV,20190215,15-02-19,8.64,8.64,8.46,8.64,52520,0
AAV,20190214,14-02-19,8.64,8.64,8.46,8.64,21801,0
AAV,20190213,13-02-19,8.64,8.64,8.46,8.64,36510,0
AAV,20190212,12-02-19,8.64,8.64,8.46,8.64,46685,0
AAV,20190211,11-02-19,8.64,8.73,8.46,8.64,50021,0
AAV,20190201,01-02-19,8.73,8.73,8.64,8.64,59600,0
AAV,20190131,31-01-19,8.64,8.73,8.64,8.73,31545,1
AAV,20190130,30-01-19,8.73,8.73,8.55,8.64,44570,0
AAV,20190129,29-01-19,8.82,8.91,8.64,8.73,50020,0
AAV,20190128,28-01-19,8.91,8.91,8.64,8.91,152315,0
AAV,20190125,25-01-19,8.91,9,8.73,8.91,169400,0
AAV,20190124,24-01-19,9,9,8.73,9,214525,0
AAV,20190123,23-01-19,9,9,8.73,9,97330,0
AAV,20190122,22-01-19,9.18,9.18,8.73,9,193800,0
AAV,20190121,21-01-19,9.18,9.27,9,9.18,202310,0
AAV,20190118,18-01-19,9.18,9.45,9,9.18,366200,1
AAV,20190117,17-01-19,8.64,9.45,8.64,9.09,652945,1
AAV,20190116,16-01-19,8.73,8.73,8.64,8.64,37770,1
AAV,20190115,15-01-19,8.82,8.82,8.55,8.55,31177,0
AAV,20190114,14-01-19,8.64,8.82,8.64,8.82,8720,0
AAV,20190111,11-01-19,8.91,8.91,8.55,8.91,31690,0
AAV,20190110,10-01-19,9,9,8.91,9,10690,0
AAV,20190109,09-01-19,9,9,8.91,9,19115,0
AAV,20190108,08-01-19,9,9.09,8.91,9,26115,0
AAV,20190107,07-01-19,9.09,9.09,9,9,4856,0
AAV,20190104,04-01-19,8.82,9.09,8.82,9.09,61700,1
AAV,20190103,03-01-19,9,9,8.73,9,23715,0
AAV,20190102,02-01-19,9.18,9.18,8.91,9.09,35295,0
AAV,20181228,28-12-18,8.91,9.18,8.91,9.18,17056,0
AAV,20181227,27-12-18,9,9.18,8.91,9.18,64235,1
AAV,20181226,26-12-18,9.09,9.09,8.91,9.09,11260,0
AAV,20181225,25-12-18,9,9.09,8.91,9.09,45020,0
AAV,20181224,24-12-18,9.09,9.18,9,9.09,19580,0
AAV,20181221,21-12-18,9,9.18,9,9.18,20550,0
AAV,20181220,20-12-18,9,9.18,9,9.18,48462,0
AAV,20181219,19-12-18,9,9.18,8.91,9.18,89867,0
AAV,20181218,18-12-18,8.91,9.18,8.82,9.18,39000,0
AAV,20181217,17-12-18,9.18,9.27,8.82,9.27,52475,0
AAV,20181214,14-12-18,9.18,9.27,9.09,9.27,56240,1
AAV,20181213,13-12-18,8.91,9.18,8.82,9.18,69345,1
AAV,20181212,12-12-18,8.73,9.18,8.19,9,29225,0
AAV,20181211,11-12-18,9.09,9.18,9,9.09,7705,0
AAV,20181210,10-12-18,8.91,9.09,8.91,9.09,5850,0
AAV,20181207,07-12-18,9.18,9.18,9,9.18,34255,0
AAV,20181206,06-12-18,9.18,9.27,8.91,9.27,106190,0
AAV,20181205,05-12-18,9.18,9.36,9.18,9.27,6730,0
AAV,20181204,04-12-18,9.36,9.45,9.18,9.36,29102,0
AAV,20181203,03-12-18,9.18,9.36,8.91,9.36,43160,0
AAV,20181130,30-11-18,9.18,9.36,9.18,9.36,6405,1
AAV,20181129,29-11-18,9.27,9.45,9.18,9.18,22182,0
AAV,20181128,28-11-18,9.18,9.54,9.09,9.54,63595,1
AAV,20181127,27-11-18,9.36,9.36,8.82,9.27,190035,0
AAV,20181126,26-11-18,9.36,9.45,9.27,9.45,34275,0
AAV,20181123,23-11-18,9.45,9.54,9.18,9.45,147005,0
AAV,20181122,22-11-18,9.63,9.63,9.45,9.54,90058,0
AAV,20181121,21-11-18,9.81,9.81,9.45,9.72,64710,0
AAV,20181120,20-11-18,9.99,9.99,9.45,9.9,191200,0
AAV,20181119,19-11-18,10.26,11.25,9.36,10.08,173400,0
AAV,20181116,16-11-18,10.26,10.35,10.17,10.26,104020,1
AAV,20181115,15-11-18,10.08,10.35,9.99,10.08,257910,0
AAV,20181114,14-11-18,9.36,10.26,9.27,10.08,752955,1
AAV,20181113,13-11-18,9.36,9.45,9.18,9.45,50000,0
AAV,20181112,12-11-18,9.45,9.45,9.27,9.45,28480,0
AAV,20181109,09-11-18,9.45,9.54,9.27,9.45,86150,0
AAV,20181108,08-11-18,9.27,9.45,9.27,9.45,91375,1
AAV,20181107,07-11-18,9.27,9.27,9.09,9.27,24700,0
AAV,20181106,06-11-18,9.36,9.36,9.09,9.36,102840,0
AAV,20181105,05-11-18,9.18,9.45,9.18,9.36,52220,1
AAV,20181102,02-11-18,8.55,9.27,8.28,9.27,243430,1
AAV,20181101,01-11-18,8.91,9,8.37,8.46,30200,0
AAV,20181031,31-10-18,8.82,9.09,8.64,8.91,117400,0
AAV,20181030,30-10-18,9,9.27,8.73,8.91,133400,0
AAV,20181029,29-10-18,9,9.18,8.82,9,38200,0
AAV,20181026,26-10-18,9.27,9.36,8.91,9.27,45600,0
AAV,20181025,25-10-18,9,9.27,8.73,9.27,34975,0
AAV,20181024,24-10-18,9.09,9.27,9,9.27,40200,0
AAV,20181023,23-10-18,9.36,9.36,9,9.36,75300,0
AAV,20181022,22-10-18,9.36,9.45,9.18,9.36,82000,0
AAV,20181019,19-10-18,9.09,9.36,8.91,9.36,53910,0
AAV,20181018,18-10-18,9.36,9.36,8.91,9.36,50300,0
AAV,20181017,17-10-18,9.45,9.45,9.09,9.36,46400,0
AAV,20181016,16-10-18,9.36,9.45,9.27,9.36,38000,1
AAV,20181015,15-10-18,9.72,9.72,9,9.18,44200,0
AAV,20181012,12-10-18,9.36,9.63,8.46,9.63,455250,1
AAV,20181011,11-10-18,9.45,9.81,9.36,9.36,168200,0
AAV,20181010,10-10-18,10.35,10.53,9.9,10.35,21600,0
AAV,20181009,09-10-18,10.35,10.53,10.08,10.53,175520,1
AAV,20181008,08-10-18,10.53,10.53,9.72,10.35,1685030,0
AAV,20181005,05-10-18,10.08,10.8,9.9,10.8,115500,1
AAV,20181004,04-10-18,10.71,10.71,10.08,10.35,52600,1
AAV,20181003,03-10-18,10.1738,10.4868,9.3129,10.3308,490910,0
AAV,20181002,02-10-18,10.3303,10.7999,9.7825,10.3308,407825,0
