<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
CMG,20170215,15-02-17,12.2165,12.2165,12.0525,12.0537,4170
CMG,20170214,14-02-17,12.2575,12.2985,11.9705,12.2177,6070
CMG,20170213,13-02-17,11.8886,12.2985,11.5196,12.2997,23410
CMG,20170210,10-02-17,11.8066,12.2985,11.8066,11.9717,13150
CMG,20170209,09-02-17,12.6675,12.6675,11.8066,12.2997,16310
CMG,20170208,08-02-17,12.6265,12.6265,12.6265,12.6277,80
CMG,20170207,07-02-17,12.6265,13.2824,12.2985,12.7097,790
CMG,20170206,06-02-17,12.9954,13.1184,12.2985,12.6277,7140
CMG,20170203,03-02-17,13.1184,13.1184,12.9544,12.9557,110
CMG,20170202,02-02-17,12.7085,12.7904,12.6265,12.7917,2010
CMG,20170125,25-01-17,12.3805,12.5855,11.8886,12.5867,6510
CMG,20170124,24-01-17,12.2165,12.3805,12.2165,12.2997,9610
CMG,20170123,23-01-17,11.6836,11.9705,11.6426,11.9717,3510
CMG,20170120,20-01-17,11.6016,11.9705,11.6016,11.6437,50
CMG,20170119,19-01-17,11.8886,11.8886,11.7246,11.7257,6400
CMG,20170118,18-01-17,11.9705,11.9705,11.8066,11.8077,25000
CMG,20170117,17-01-17,11.9295,11.9295,11.9295,11.9307,100
CMG,20170116,16-01-17,11.6426,11.9295,11.6016,11.9307,1320
CMG,20170113,13-01-17,11.6016,11.9295,11.6016,11.9307,2490
CMG,20170111,11-01-17,12.2165,12.2165,12.2165,12.2177,10
CMG,20170110,10-01-17,12.1345,12.1345,12.1345,12.1357,10
CMG,20170106,06-01-17,12.2575,12.2575,11.8886,11.8897,7810
CMG,20170105,05-01-17,12.2985,12.2985,11.6836,12.2587,3430
CMG,20170104,04-01-17,12.2985,12.2985,11.9705,12.2997,5750
CMG,20161230,30-12-16,11.7246,12.5445,11.5606,12.2997,21990
CMG,20161229,29-12-16,12.1345,12.1345,12.1345,12.1357,100
CMG,20161228,28-12-16,11.8886,12.2165,11.7246,12.2177,2200
CMG,20161227,27-12-16,12.3805,12.3805,12.2985,12.2997,1660
CMG,20161226,26-12-16,11.7656,12.9954,11.7656,12.5457,5380
CMG,20161223,23-12-16,11.8066,12.2575,11.8066,12.2587,610
CMG,20161221,21-12-16,12.7085,12.7085,12.1345,12.3817,2020
CMG,20161219,19-12-16,12.2985,12.2985,12.2985,12.2997,10
CMG,20161216,16-12-16,12.2985,12.2985,12.2985,12.2997,1940
CMG,20161215,15-12-16,12.6265,12.6265,12.6265,12.6277,10
CMG,20161214,14-12-16,11.8886,12.2165,11.8886,12.2177,7220
CMG,20161213,13-12-16,12.2985,12.2985,11.7246,11.7257,4300
